Area,Measure,ANZSIC06,Year,Value,Flags
"Central Hawke's Bay District","Employee Count","B Mining","2011",50,
"Napier City","Employee Count","B Mining","2011",15,
"Napier City","Geographic Units","B Mining","2011",3,
"Hastings District","Geographic Units","B Mining","2011",9,
"Hastings District","Employee Count","B Mining","2011",25,
"Wairoa District","Employee Count","B Mining","2011",6,
"Wairoa District","Geographic Units","B Mining","2011",3,
"Gisborne District","Geographic Units","B Mining","2011",6,
"Gisborne District","Employee Count","B Mining","2011",21,
"Whakatane District","Employee Count","B Mining","2011",12,
"Whakatane District","Geographic Units","B Mining","2011",6,
"Whakatane District","Geographic Units","B Mining","2012",6,
"Whakatane District","Employee Count","B Mining","2012",21,
"Gisborne District","Employee Count","B Mining","2012",25,
"Gisborne District","Geographic Units","B Mining","2012",6,
"Wairoa District","Geographic Units","B Mining","2012",3,
"Wairoa District","Employee Count","B Mining","2012",3,
"Hastings District","Employee Count","B Mining","2012",25,
"Hastings District","Geographic Units","B Mining","2012",6,
"Napier City","Geographic Units","B Mining","2012",3,
"Napier City","Employee Count","B Mining","2012",12,
"Central Hawke's Bay District","Employee Count","B Mining","2012",55,
"Central Hawke's Bay District","Geographic Units","B Mining","2012",3,
"New Plymouth District","Geographic Units","B Mining","2012",129,
"New Plymouth District","Employee Count","B Mining","2012",800,
"Stratford District","Employee Count","B Mining","2012",3,
"Stratford District","Geographic Units","B Mining","2012",3,
"South Taranaki District","Geographic Units","B Mining","2012",12,
"South Taranaki District","Employee Count","B Mining","2012",150,
"Ruapehu District","Employee Count","B Mining","2012",9,
"Ruapehu District","Geographic Units","B Mining","2012",6,
"Rangitikei District","Employee Count","B Mining","2012",35,
"Rangitikei District","Geographic Units","B Mining","2012",9,
"Whanganui District","Employee Count","B Mining","2012",0,
"Whanganui District","Geographic Units","B Mining","2012",0,
"Manawatu District","Geographic Units","B Mining","2012",6,
"Manawatu District","Employee Count","B Mining","2012",6,
"Palmerston North City","Employee Count","B Mining","2012",40,
"Palmerston North City","Employee Count","A Agriculture, Forestry and Fishing","2012",520,
"Palmerston North City","Geographic Units","B Mining","2012",9,
"Tararua District","Geographic Units","B Mining","2012",6,
"Tararua District","Geographic Units","A Agriculture, Forestry and Fishing","2012",1413,
"Tararua District","Employee Count","A Agriculture, Forestry and Fishing","2012",1900,
"Tararua District","Employee Count","B Mining","2012",9,
"Horowhenua District","Employee Count","B Mining","2012",3,
"Horowhenua District","Employee Count","A Agriculture, Forestry and Fishing","2012",1300,
"Horowhenua District","Geographic Units","A Agriculture, Forestry and Fishing","2012",672,
"Horowhenua District","Geographic Units","B Mining","2012",0,
"Kapiti Coast District","Geographic Units","B Mining","2012",9,
"Kapiti Coast District","Geographic Units","A Agriculture, Forestry and Fishing","2012",303,
"Kapiti Coast District","Employee Count","A Agriculture, Forestry and Fishing","2012",350,
"Kapiti Coast District","Employee Count","B Mining","2012",15,
"Opotiki District","Geographic Units","B Mining","2012",3,
"Opotiki District","Employee Count","B Mining","2012",0,
"Porirua City","Employee Count","A Agriculture, Forestry and Fishing","2012",65,
"Porirua City","Geographic Units","A Agriculture, Forestry and Fishing","2012",99,
"Upper Hutt City","Geographic Units","A Agriculture, Forestry and Fishing","2012",138,
"Upper Hutt City","Employee Count","A Agriculture, Forestry and Fishing","2012",65,
"Lower Hutt City","Employee Count","A Agriculture, Forestry and Fishing","2012",35,
"Lower Hutt City","Geographic Units","A Agriculture, Forestry and Fishing","2012",63,
"Lower Hutt City","Employee Count","B Mining","2012",40,
"Lower Hutt City","Geographic Units","B Mining","2012",9,
"Wellington City","Geographic Units","B Mining","2012",51,
"Wellington City","Employee Count","B Mining","2012",190,
"Wellington City","Geographic Units","A Agriculture, Forestry and Fishing","2012",141,
"Wellington City","Employee Count","A Agriculture, Forestry and Fishing","2012",130,
"Masterton District","Employee Count","A Agriculture, Forestry and Fishing","2012",1250,
"Masterton District","Geographic Units","A Agriculture, Forestry and Fishing","2012",801,
"Masterton District","Employee Count","B Mining","2012",15,
"Masterton District","Geographic Units","B Mining","2012",3,
"Carterton District","Geographic Units","B Mining","2012",3,
"Carterton District","Employee Count","B Mining","2012",3,
"Carterton District","Geographic Units","A Agriculture, Forestry and Fishing","2012",408,
"Carterton District","Employee Count","A Agriculture, Forestry and Fishing","2012",600,
"South Wairarapa District","Employee Count","A Agriculture, Forestry and Fishing","2012",850,
"South Wairarapa District","Geographic Units","A Agriculture, Forestry and Fishing","2012",531,
"South Wairarapa District","Employee Count","B Mining","2012",6,
"South Wairarapa District","Geographic Units","B Mining","2012",3,
"Tasman District","Geographic Units","B Mining","2012",18,
"Tasman District","Employee Count","B Mining","2012",60,
"Tasman District","Geographic Units","A Agriculture, Forestry and Fishing","2012",1944,
"Tasman District","Employee Count","A Agriculture, Forestry and Fishing","2012",4550,
"Nelson City","Employee Count","A Agriculture, Forestry and Fishing","2012",850,
"Nelson City","Geographic Units","A Agriculture, Forestry and Fishing","2012",258,
"Nelson City","Employee Count","B Mining","2012",3,
"Nelson City","Geographic Units","B Mining","2012",6,
"Marlborough District","Geographic Units","B Mining","2012",6,
"Marlborough District","Employee Count","B Mining","2012",55,
"Marlborough District","Geographic Units","A Agriculture, Forestry and Fishing","2012",2172,
"Marlborough District","Employee Count","A Agriculture, Forestry and Fishing","2012",3700,
"Kaikoura District","Employee Count","A Agriculture, Forestry and Fishing","2012",170,
"Kaikoura District","Geographic Units","A Agriculture, Forestry and Fishing","2012",204,
"Kaikoura District","Employee Count","B Mining","2012",3,
"Kaikoura District","Geographic Units","B Mining","2012",3,
"Buller District","Geographic Units","B Mining","2012",33,
"Buller District","Employee Count","B Mining","2012",1200,
"Buller District","Geographic Units","A Agriculture, Forestry and Fishing","2012",342,
"Buller District","Employee Count","A Agriculture, Forestry and Fishing","2012",500,
"Grey District","Employee Count","A Agriculture, Forestry and Fishing","2012",390,
"Grey District","Geographic Units","A Agriculture, Forestry and Fishing","2012",279,
"Grey District","Employee Count","B Mining","2012",460,
"Grey District","Geographic Units","B Mining","2012",39,
"Westland District","Geographic Units","B Mining","2012",21,
"Westland District","Employee Count","B Mining","2012",55,
"Westland District","Geographic Units","A Agriculture, Forestry and Fishing","2012",381,
"Westland District","Employee Count","A Agriculture, Forestry and Fishing","2012",420,
"Hurunui District","Employee Count","A Agriculture, Forestry and Fishing","2012",1600,
"Hurunui District","Geographic Units","A Agriculture, Forestry and Fishing","2012",1200,
"Hurunui District","Employee Count","B Mining","2012",6,
"Hurunui District","Geographic Units","B Mining","2012",3,
"Waimakariri District","Geographic Units","B Mining","2012",6,
"Waimakariri District","Employee Count","B Mining","2012",3,
"Waimakariri District","Geographic Units","A Agriculture, Forestry and Fishing","2012",1863,
"Waimakariri District","Employee Count","A Agriculture, Forestry and Fishing","2012",1050,
"Christchurch City","Employee Count","A Agriculture, Forestry and Fishing","2012",1650,
"Christchurch City","Geographic Units","A Agriculture, Forestry and Fishing","2012",1116,
"Christchurch City","Employee Count","B Mining","2012",260,
"Christchurch City","Geographic Units","B Mining","2012",42,
"Selwyn District","Geographic Units","B Mining","2012",9,
"Selwyn District","Employee Count","B Mining","2012",35,
"Selwyn District","Geographic Units","A Agriculture, Forestry and Fishing","2012",2214,
"Selwyn District","Employee Count","A Agriculture, Forestry and Fishing","2012",2650,
"Ashburton District","Employee Count","A Agriculture, Forestry and Fishing","2012",3350,
"Ashburton District","Geographic Units","A Agriculture, Forestry and Fishing","2012",1851,
"Ashburton District","Employee Count","B Mining","2012",12,
"Ashburton District","Geographic Units","B Mining","2012",3,
"Timaru District","Geographic Units","B Mining","2012",12,
"Timaru District","Employee Count","B Mining","2012",25,
"Timaru District","Geographic Units","A Agriculture, Forestry and Fishing","2012",1275,
"Timaru District","Employee Count","A Agriculture, Forestry and Fishing","2012",1900,
"Mackenzie District","Employee Count","A Agriculture, Forestry and Fishing","2012",420,
"Mackenzie District","Geographic Units","A Agriculture, Forestry and Fishing","2012",333,
"Waimate District","Geographic Units","A Agriculture, Forestry and Fishing","2012",669,
"Waimate District","Employee Count","A Agriculture, Forestry and Fishing","2012",1150,
"Chatham Islands Territory","Employee Count","A Agriculture, Forestry and Fishing","2012",60,
"Chatham Islands Territory","Geographic Units","A Agriculture, Forestry and Fishing","2012",99,
"Waitaki District","Geographic Units","A Agriculture, Forestry and Fishing","2012",1041,
"Waitaki District","Employee Count","B Mining","2012",450,
"Waitaki District","Geographic Units","B Mining","2012",6,
"Waitaki District","Employee Count","A Agriculture, Forestry and Fishing","2012",1450,
"Central Otago District","Employee Count","A Agriculture, Forestry and Fishing","2012",3250,
"Central Otago District","Geographic Units","B Mining","2012",12,
"Central Otago District","Employee Count","B Mining","2012",35,
"Central Otago District","Geographic Units","A Agriculture, Forestry and Fishing","2012",933,
"Queenstown-Lakes District","Geographic Units","A Agriculture, Forestry and Fishing","2012",324,
"Queenstown-Lakes District","Employee Count","B Mining","2012",6,
"Queenstown-Lakes District","Geographic Units","B Mining","2012",15,
"Queenstown-Lakes District","Employee Count","A Agriculture, Forestry and Fishing","2012",420,
"Dunedin City","Employee Count","A Agriculture, Forestry and Fishing","2012",1000,
"Dunedin City","Geographic Units","B Mining","2012",15,
"Dunedin City","Employee Count","B Mining","2012",50,
"Dunedin City","Geographic Units","A Agriculture, Forestry and Fishing","2012",948,
"Clutha District","Geographic Units","A Agriculture, Forestry and Fishing","2012",1533,
"Clutha District","Employee Count","B Mining","2012",45,
"Clutha District","Geographic Units","B Mining","2012",3,
"Clutha District","Employee Count","A Agriculture, Forestry and Fishing","2012",3100,
"Southland District","Employee Count","A Agriculture, Forestry and Fishing","2012",6000,
"Southland District","Geographic Units","B Mining","2012",12,
"Southland District","Employee Count","B Mining","2012",80,
"Southland District","Geographic Units","A Agriculture, Forestry and Fishing","2012",3582,
"Gore District","Geographic Units","A Agriculture, Forestry and Fishing","2012",762,
"Gore District","Employee Count","B Mining","2012",75,
